Iteración: 157, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 158, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 159, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 160, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 161, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 162, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 163, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 164, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 165, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 166, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 167, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 168, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 169, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 170, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 171, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 172, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 173, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 174, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 175, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 176, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 177, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 178, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 179, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 180, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 181, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 182, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 183, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 184, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 185, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 186, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 187, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 188, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 189, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 190, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 191, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 192, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 193, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 194, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 195, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 196, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 197, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 198, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 199, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 200, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 201, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 202, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 203, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 204, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 205, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 206, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 207, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 208, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 209, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 210, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 211, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 212, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
